Name;M;M1;N;X0;eps;h;n;r0;repetition;rho;sigma;tipo;average;max;min;timeSGD
N:200-n:4-r0:5-rho:0.7-M:10;10;1000000;200;0,5;0,01;0,01;4;5;100;0,7;0,5;lagrange;237,32;872;42;10.805.902.592.200.000
N:200-n:4-r0:1-rho:0.8-M:1;1;1000000;200;0,5;0,01;0,01;4;1;100;0,8;0,5;lagrange;1904,54;4999;113;6.788.880.002.589.990
N:200-n:4-r0:1-rho:0.8-M:100;100;1000000;200;0,5;0,01;0,01;4;1;100;0,8;0,5;lagrange;44,2;565;4;0,307551968
N:200-n:4-r0:1-rho:0.8-M:10;10;1000000;200;0,5;0,01;0,01;4;1;100;0,8;0,5;lagrange;388,95;2443;18;17.656.272.777.800.000
N:200-n:4-r0:5-rho:0.7-M:1;1;1000000;200;0,5;0,01;0,01;4;5;100;0,7;0,5;lagrange;2135,32;4999;431;7.608.746.905.699.990
N:200-n:4-r0:5-rho:0.6-M:100;100;1000000;200;0,5;0,01;0,01;4;5;100;0,6;0,5;lagrange;51,51;148;15;0,35788995
N:200-n:4-r0:5-rho:0.6-M:10;10;1000000;200;0,5;0,01;0,01;4;5;100;0,6;0,5;lagrange;391,26;867;115;17.779.064.759.100.000
N:200-n:4-r0:1-rho:0.9-M:1;1;1000000;200;0,5;0,01;0,01;4;1;100;0,9;0,5;lagrange;3403,4;4999;177;12.136.499.118.390.000
N:200-n:4-r0:1-rho:0.9-M:100;100;1000000;200;0,5;0,01;0,01;4;1;100;0,9;0,5;lagrange;84,41;768;5;0,586054749
N:200-n:4-r0:1-rho:0.9-M:10;10;1000000;200;0,5;0,01;0,01;4;1;100;0,9;0,5;lagrange;1291,96;4999;13;5.878.051.156.709.980
N:200-n:4-r0:5-rho:0.6-M:1;1;1000000;200;0,5;0,01;0,01;4;5;100;0,6;0,5;lagrange;3872,22;4999;568;13.801.202.802.120.000
N:200-n:3-r0:1-rho:0.6-M:100;100;1000000;200;0,5;0,01;0,01;3;1;100;0,6;0,5;lagrange;22,93;129;2;0,155334089
N:200-n:3-r0:1-rho:0.6-M:10;10;1000000;200;0,5;0,01;0,01;3;1;100;0,6;0,5;lagrange;110,54;586;4;0,503830205
N:200-n:3-r0:1-rho:0.7-M:1;1;1000000;200;0,5;0,01;0,01;3;1;100;0,7;0,5;lagrange;1011,97;4999;115;35.978.009.292.400.300
N:200-n:3-r0:1-rho:0.6-M:100;100;1000000;200;0,5;0,01;0,01;3;1;100;0,6;0,5;lagrange;25,71;160;3;0,175227829
N:200-n:3-r0:1-rho:0.6-M:10;10;1000000;200;0,5;0,01;0,01;3;1;100;0,6;0,5;lagrange;126,97;989;10;0,570719018
N:200-n:3-r0:1-rho:0.6-M:1;1;1000000;200;0,5;0,01;0,01;3;1;100;0,6;0,5;lagrange;1069,28;3735;149;379.629.557.430.002
N:200-n:3-r0:1-rho:0.7-M:100;100;1000000;200;0,5;0,01;0,01;3;1;100;0,7;0,5;lagrange;27,21;211;3;0,188275941
