Name;K;M;M1;N;N1;T;X0;eps;h;n;r0;repetition;rho;sigma;tau;tipo;average;max;min;timeSGD
r0:5-rho:0.9-M:10000-K:0.001-tau:1-n:7;0,001;10000;1000000;200;200;2;0,5;0,01;0,01;7;5;10;0,9;0,5;1;lagrange;4;4;4;2.397.205.720.400.230
r0:5-rho:0.9-M:10000-K:0.001-tau:1-n:6;0,001;10000;1000000;200;200;2;0,5;0,01;0,01;6;5;10;0,9;0,5;1;lagrange;5;5;5;26.795.492.206.001.600
r0:5-rho:0.9-M:10000-K:0.001-tau:1-n:5;0,001;10000;1000000;200;200;2;0,5;0,01;0,01;5;5;10;0,9;0,5;1;lagrange;5,2;6;5;24.746.756.977.001.400
r0:5-rho:0.9-M:10000-K:0.001-tau:1-n:4;0,001;10000;1000000;200;200;2;0,5;0,01;0,01;4;5;10;0,9;0,5;1;lagrange;7,2;8;7;30.318.855.272.998.900
r0:5-rho:0.9-M:10000-K:0.001-tau:1-n:3;0,001;10000;1000000;200;200;2;0,5;0,01;0,01;3;5;10;0,9;0,5;1;lagrange;8;8;8;29.470.200.427.000.200
r0:5-rho:0.9-M:10000-K:0.001-tau:0.5-n:8;0,001;10000;1000000;200;200;2;0,5;0,01;0,01;8;5;10;0,9;0,5;0,5;lagrange;4;4;4;2.611.502.902.400.380
r0:5-rho:0.9-M:10000-K:0.001-tau:0.5-n:7;0,001;10000;1000000;200;200;2;0,5;0,01;0,01;7;5;10;0,9;0,5;0,5;lagrange;4;4;4;23.937.891.790.999.800
r0:5-rho:0.9-M:10000-K:0.001-tau:0.5-n:6;0,001;10000;1000000;200;200;2;0,5;0,01;0,01;6;5;10;0,9;0,5;0,5;lagrange;5;5;5;2.665.870.623.700.170
r0:5-rho:0.9-M:10000-K:0.001-tau:0.5-n:5;0,001;10000;1000000;200;200;2;0,5;0,01;0,01;5;5;10;0,9;0,5;0,5;lagrange;5,9;6;5;27.945.469.966.995.000
r0:5-rho:0.9-M:10000-K:0.001-tau:0.5-n:4;0,001;10000;1000000;200;200;2;0,5;0,01;0,01;4;5;10;0,9;0,5;0,5;lagrange;7;7;7;29.504.163.680.998.300
r0:5-rho:0.9-M:10000-K:0.001-tau:0.5-n:3;0,001;10000;1000000;200;200;2;0,5;0,01;0,01;3;5;10;0,9;0,5;0,5;lagrange;8,4;10;8;31.092.058.708.003.600
r0:5-rho:0.9-M:10000-K:0.001-tau:0.1-n:8;0,001;10000;1000000;200;200;2;0,5;0,01;0,01;8;5;10;0,9;0,5;0,1;lagrange;4;4;4;2.626.234.896.999.810
r0:5-rho:0.9-M:10000-K:0.001-tau:0.1-n:7;0,001;10000;1000000;200;200;2;0,5;0,01;0,01;7;5;10;0,9;0,5;0,1;lagrange;4;4;4;23.961.838.388.000.600
r0:5-rho:0.9-M:10000-K:0.001-tau:0.1-n:6;0,001;10000;1000000;200;200;2;0,5;0,01;0,01;6;5;10;0,9;0,5;0,1;lagrange;5;5;5;26.826.902.770.997.500
r0:5-rho:0.9-M:10000-K:0.001-tau:0.1-n:5;0,001;10000;1000000;200;200;2;0,5;0,01;0,01;5;5;10;0,9;0,5;0,1;lagrange;5,9;6;5;28.028.995.934.000.700
r0:5-rho:0.9-M:10000-K:0.001-tau:0.1-n:4;0,001;10000;1000000;200;200;2;0,5;0,01;0,01;4;5;10;0,9;0,5;0,1;lagrange;7;7;7;2.951.020.186.900.130
